!T.O.O.H.!,death metal//progressive metal//grindcore metal
Voyage of Slaves,black metal//death metal//thrash metal
Voyager,death metal//progressive metal//thrash metal//heavy metal//doom metal
Vpaahsalbrox,black metal
Vrag,black metal
Vrak,thrash metal
Vrani Volosa,black metal//pagan metal
Vrawsche,black metal//thrash metal
Vredehammer,black metal//death metal
Vreemdeling,black metal
Vreid,black metal
Vril,black metal//death metal
Vril Metal,power metal//heavy metal
Vritra,black metal
Vritrahn-Werwolf,black metal
Vrna,black metal
Vrolok,black metal
Vrosk,sludge metal//doom metal
Vrykolakas,black metal//death metal
Vucub Came,black metal
Vuelo Inmortal,power metal//heavy metal
Vulcain,heavy metal
Vulcan,thrash metal
Vulcano,black metal//death metal//thrash metal
Vulcanor,thrash metal//heavy metal
Vulgaari,death metal//doom metal
Vulgar,death metal//thrash metal//heavy metal
Vulgar Degenerate,death metal
Vulgar Faction,metalcore metal//groove metal
Vulgata,progressive metal
Vulgate,thrash metal
Vulkodlak,black metal
Vulkro,death metal//doom metal
Vulnerata,black metal//death metal
Vulnus,death metal
Vulpus,black metal
Vulse,death metal//thrash metal
Vulsellum,death metal
Vulto,black metal
Vultos Vociferos,black metal
Vultra,heavy metal
Vulture,black metal//death metal//stoner metal//thrash metal//speed metal//doom metal
Vulture Cavalry,heavy metal
Vulture Culture,groove metal
Vulture Industries,avant-garde metal//progressive metal
Vulture King,power metal//heavy metal
Vulture Lord,black metal//thrash metal
Vulture's Eye,death metal//thrash metal
Vultures,death metal//thrash metal//heavy metal
Vultures at Arms Reach,sludge metal
Vultures to Carrion,metalcore metal
Vulv,black metal
Vulvagun,power metal//thrash metal
Vulvapest,black metal//death metal//thrash metal
Vulvark,black metal
Vulvathrone,death metal//grindcore metal
Vulvodynia,deathcore metal//death metal
Vulvulator,death metal//grindcore metal
Vuotan,black metal
Vurtula,power metal//progressive metal
Vurtumnus,death metal
Vurvarat,black metal//doom metal
Vvardenfell,black metal
Vvltvre,sludge metal//doom metal
Vvrika,black metal
VxGxLxSxCxDxVxZxNx,death metal
Vyc Vypyr,heavy metal//speed metal
Vynkord,folk metal
Vyper,heavy metal
Vyrant,death metal//thrash metal
Vyrju,black metal//doom metal
Vyrus Survivor,power metal//heavy metal
Vytal,heavy metal
Vyvorot,black metal
Vyzj,folk metal
W,black metal
W.A.B.S.O.T.O.W.H.,black metal
W.A.S.P.,heavy metal
W.A.S.T.E.,black metal//power metal
W.D.M.,thrash metal
W.E.B.,symphonic metal//gothic metal
W.O.G.U.E.,gothic metal
W.R.A.T.H.,heavy metal
W.T.G.,thrash metal//heavy metal
W.U.T.,heavy metal
WAARM,metalcore metal
WARFX,thrash metal
WKRX,heavy metal
WOMD,black metal//death metal
WVRM,death metal//grindcore metal
WWII,black metal
WWIII,heavy metal
Wa,death metal
Wachenfeldt,death metal
Wadal,black metal
Waelcyrge,black metal//thrash metal
Waffenweihe,black metal
Waft,sludge metal//doom metal
Wagars,black metal
Wages of Sin,heavy metal
Wags Metal Inc.,heavy metal
Wahn,black metal
WahnMache / MahnWache,experimental metal
Wai Dee Zai,heavy metal
Wainas,death metal//doom metal
Waited,metalcore metal//sludge metal
Waithrone,heavy metal
Waiting Mortuary,death metal
Waiting Silence,symphonic metal//power metal
Wakas,heavy metal
Wake,black metal//death metal//grindcore metal
Wake Up Dying,death metal
Wake and Prevail,metalcore metal
Wake to the Mourning,black metal
Wakeful,death metal//progressive metal
Waken Eyes,progressive metal
Waking Judea,death metal
Waking for Darkness,black metal//death metal
Waking the Dead,thrash metal
Walaskialf,black metal
Wald,black metal//death metal
Wald Krypta,black metal
Waldseel,black metal
Waldsterben,black metal
Waldstille,black metal
Waldwind,black metal//progressive metal//folk metal
Walk Away Alpha,metalcore metal//death metal
Walk Through Fire,sludge metal//doom metal
Walk in Darkness,gothic metal
Walking Corpse Syndrome,black metal//death metal//industrial metal
Walking Dead Suicide,death metal//progressive metal
Walking Dead on Broadway,deathcore metal
Walknut,black metal
Walkyrya,heavy metal
Wall Red Murder,death metal//grindcore metal
Wall of Death,death metal
Wall of Sleep,stoner metal//doom metal
Wall of Vipers,death metal//thrash metal
Wall of Water,black metal//death metal
Wall of the Eyeless,death metal//progressive metal
Wallachia,black metal//symphonic metal
Wallow,black metal
Wallower,black metal
Walpurgis,black metal//death metal
Walpurgis Night,black metal//death metal//heavy metal//doom metal
Walpurgisnacht,black metal//death metal
Walpyrgus,heavy metal
Walrus Resist,death metal
Walsung,black metal//pagan metal
Walter Giardino Temple,heavy metal
Waltz,death metal
Wamphyre,black metal
Wampyric Moon,black metal
Wampyrinacht,black metal
Wanderer,black metal//pagan metal//viking metal//heavy metal//speed metal
Wandersword,death metal//viking metal
Wangelen,black metal//pagan metal
Waning,black metal
Wannsee,black metal
Wanted,power metal//thrash metal//heavy metal
Wanted Breed,power metal//heavy metal
Wanted Inc.,death metal//thrash metal
Wanterwollef,black metal
Wanton,heavy metal
Wapenspraak & Drinkgelag,thrash metal//folk metal
Waqum,metalcore metal//death metal//thrash metal
War Ancestry,black metal//death metal
War Bong,sludge metal//doom metal
War Command,black metal//death metal//thrash metal
War Cry,power metal//doom metal
War Cult Supremacy,black metal
War Curse,thrash metal//heavy metal
War Dance,power metal//thrash metal
War Elephant,sludge metal//black metal//doom metal
War Empire,black metal//death metal
War Engine,thrash metal
War Forest,black metal
War Generation 666,black metal
War Graves,death metal//thrash metal
War Hammers,thrash metal
War Hungry,groove metal
War Inferno FX,death metal
War Inside,death metal
War Iron,sludge metal//doom metal
War Kommand,black metal
War Master,black metal//death metal
War Pigs,groove metal//thrash metal
War Plague,black metal//industrial metal//grindcore metal
War Ripper,black metal//thrash metal
War Ritual,black metal//death metal
War Sieg,black metal
War Swallowed,death metal
War Symphony,power metal
War Theory,groove metal//death metal//thrash metal
War Torment,death metal//thrash metal
War Torn,death metal
War Victim,thrash metal//heavy metal
War of Abaddon,death metal
War of the Roses,black metal
War on the High Seas,death metal//progressive metal
War-Head,death metal//thrash metal
War-saw,thrash metal
War666,black metal
WarCry,doom metal
WarFred,power metal//heavy metal
WarHead,thrash metal//heavy metal
Warage,black metal
Waranimal,thrash metal
Warbell,death metal
Warbiff,thrash metal
Warbird,death metal//thrash metal
Warbled Arma,black metal
Warborn Waste,death metal
Warbreed,death metal
Warbride,heavy metal
Warbutcher,black metal//death metal//thrash metal
Warchest,thrash metal
Warchetype,doom metal
Warchief,stoner metal
Warchitect,death metal//progressive metal
Warchylde,heavy metal
Warcorpse,groove metal//death metal
Warcrown,death metal
Warcrusher,death metal
Warcry,black metal//death metal//power metal//viking metal//heavy metal
Warcryer,power metal//heavy metal
Ward,sludge metal//black metal//death metal//thrash metal//doom metal
Wardaemonic,black metal
Wardagger,sludge metal//doom metal
Wardance,groove metal//power metal//thrash metal//speed metal
Wardanz,heavy metal
Wardead,thrash metal
Warden,black metal//power metal//heavy metal
Warder,death metal//heavy metal
Wardog,power metal//heavy metal
Wardomized,thrash metal
Wardra,black metal
Wardruna,folk metal
Warfactor,thrash metal
Warfair,power metal//thrash metal
Warfaith,thrash metal
Warfare D.C.,thrash metal
Warfect,thrash metal
Warfield,black metal//death metal//thrash metal//heavy metal
Warfield Within,death metal//thrash metal
Warflame,death metal//thrash metal
Warfrost,black metal
Wargasm,black metal//death metal//thrash metal
Wargoat,black metal
Wargod,black metal//thrash metal
Wargthron,black metal
Wargus,death metal
Warhag,heavy metal
Warhagan,black metal//pagan metal
Warhate,black metal//death metal//thrash metal
Warhead,black metal//death metal//power metal//progressive metal//thrash metal//heavy metal//speed metal
Warhead 666,black metal
Warheim,black metal//death metal
Warholder,death metal//thrash metal
Warhorde,black metal//thrash metal
Warhorse,stoner metal//power metal//thrash metal//heavy metal//doom metal
Warise,thrash metal
Wark,black metal
Warkings,heavy metal
Warknife,death metal//thrash metal
Warknight,heavy metal//folk metal
Warkull,death metal//thrash metal
Warkvlt,black metal
Warlock,black metal//thrash metal//heavy metal
Warlocks Voice,black metal//death metal
Warlord,black metal//death metal//power metal//viking metal//heavy metal
Warlords,black metal//heavy metal
Warlust,black metal//thrash metal
Warm Haze,thrash metal
Warmageddon,black metal
Warmagedoom,death metal
Warmarch,black metal//death metal
Warmaster,death metal//thrash metal
Warmonger,black metal//death metal//thrash metal
WarnerBeast,power metal
Warnerve,death metal//stoner metal
Warning,power metal//thrash metal//heavy metal//doom metal
Warning S.F.,heavy metal
Warnungstraum,black metal
Warpath,death metal//thrash metal
Warpigs,heavy metal
Warprayer,death metal
Warpride,heavy metal
Warrax,thrash metal
Warrel Dane,groove metal//progressive metal
Warriors of Satan,black metal//grindcore metal
Warryor,heavy metal
Warscars,death metal//grindcore metal
Warscythe,death metal
Warself,thrash metal
Warshades,black metal//death metal
Warsheep,power metal//heavy metal
Warshipper,death metal
Warskull,black metal
Warsons,death metal//thrash metal
Warspite,death metal
Warstorm,black metal//thrash metal
Warstrike 666,black metal//death metal
Warsynium,power metal//thrash metal
Wart Atrocity,groove metal//death metal
Wart Hog,heavy metal
Warth,thrash metal
Wartha,folk metal
Warthog,death metal//grindcore metal
Warthrash,death metal//thrash metal//speed metal
Warthrone,black metal//death metal
Wartooth,thrash metal
Wartormentor,black metal//thrash metal
Wartorn,groove metal//thrash metal
Warwick,heavy metal
Warxath,black metal
Warzwolf,heavy metal
Wasara,groove metal
Washed,heavy metal
Wassat,gothic metal
Waste Mankind,death metal
Waste of Energy,death metal
Wasted Bros,stoner metal
Wasted Co.,groove metal//thrash metal
Wasted Heroes,metalcore metal//death metal
Wasted Sacrifice,death metal
Wasted Souls,heavy metal
Wasted Youth,thrash metal
Wastegate,groove metal//death metal//power metal
Wasteland,groove metal//black metal//death metal//power metal//thrash metal//heavy metal//grindcore metal
Wasteland Death,heavy metal
Wasteland Skills,metalcore metal//death metal
Wastelander,black metal//thrash metal
Waster,groove metal//black metal//thrash metal//heavy metal
Wastes,doom metal
Wasting the Day,groove metal//death metal//thrash metal
Wastoid,heavy metal
Wataha,heavy metal
Watch Me Bleed,groove metal//death metal//thrash metal
Watch Me Burn,thrash metal//grindcore metal
Watchdog Discipline,thrash metal
Watchmen,heavy metal
Water Depth,power metal
Waterclime,progressive metal
Watercolor Butterfly,progressive metal
Waterfall,black metal//doom metal
Watergate,heavy metal
Watershed,heavy metal
Watertorn,progressive metal
Watuzi,death metal//thrash metal
Waverly Hills,doom metal
Waverly Lies North,power metal
Waves Aeris,heavy metal
Waves of Decay,thrash metal
Wax,progressive metal
Wax Python,heavy metal
Waxface,heavy metal
Waxwork,progressive metal
Waxwyng,progressive metal
Way of Thorns,symphonic metal//gothic metal
Way to Irys,thrash metal//heavy metal
Wayd,death metal
Wayde Cooper,progressive metal
Wayfarer,black metal//folk metal
Wayfearer,power metal//thrash metal
Wayjel,heavy metal
Wayreth,black metal//symphonic metal
Waysted Sylence,heavy metal
We All Fall,groove metal//thrash metal
We Are Building Ruins,death metal//grindcore metal
We Are Hellbrigade,death metal//thrash metal
We Are Legion,deathcore metal//death metal
We Are Nemesis,thrash metal
We Are Tyrants,metalcore metal//death metal
We Are the Damned,death metal
We Knew John Doe,metalcore metal//death metal
We Must Build,grindcore metal
We'd Be,death metal
We're All Gonna Die,stoner metal
"We, the Gods",gothic metal//doom metal
Weak,sludge metal
Weak Aside,death metal
Weakened,deathcore metal
Weakillsick,death metal//doom metal
Weakless Machine,groove metal
Weakness Found,thrash metal//heavy metal
Weaksaw,groove metal
Weald,death metal
Weapon,black metal//death metal//heavy metal//folk metal
Weapon 13,thrash metal
Weapon-X,heavy metal
Weaponex,progressive metal
Weapons to Hunt,death metal//thrash metal
WearBlack,heavy metal
WearethEnd,black metal
Wearg,black metal//death metal
Weariness,black metal
Weathers,sludge metal//stoner metal
Weatherstorm,heavy metal
Web,death metal//power metal//thrash metal
Web Ones,heavy metal
Web Slinger,heavy metal
Weberknecht,death metal//grindcore metal
Wedding in Hades,death metal//doom metal
Wedingoth,progressive metal//gothic metal
Wednesday Night Church Fight,grindcore metal
WeeDust,stoner metal
Weed Demon,sludge metal//stoner metal//doom metal
Weed Is Weed,stoner metal
Weed Warlock,sludge metal//stoner metal
Weed in the Head,stoner metal//doom metal
Weedpecker,stoner metal
Weeds in Vogue,death metal
Weekend Nachos,sludge metal
Weeping Birth,black metal//death metal
Weeping Horror,gothic metal//doom metal
Weeping Prophet,progressive metal//thrash metal
Weeping Silence,black metal//death metal//gothic metal//doom metal
Weeping Sores,death metal//doom metal
Weeping Twilight,doom metal//folk metal
Weeping Willow,black metal//death metal//progressive metal
Weidenbaum,black metal
Weight of Emptiness,death metal//doom metal
Weightless,black metal//progressive metal
Weinberg,black metal
Weinpole,heavy metal
Weird Anxiety,black metal//progressive metal
Weird Fate,black metal
Weird Light,doom metal
Weirding Way,death metal//thrash metal//grindcore metal
Weirdland,progressive metal//heavy metal
Weishaupt,black metal//death metal
Weisshorn,black metal
Weisskrieg,black metal
Weizador,black metal
Wekufe,black metal
Welcome Idiots,heavy metal
Weldar,black metal
Welding Torture,death metal
Welkin,groove metal//death metal
Welkin Dusk,black metal//thrash metal
Welkin's Cry,heavy metal
Well Done Beat,heavy metal//doom metal
Well of Souls,doom metal
Well of Tears,death metal
WellFear,groove metal
Welt,death metal
Weltanschauung,black metal
Weltbrand,black metal
Weltengrab,black metal
Weltenwende,black metal//death metal
Welter in Thy Blood,black metal//doom metal
Weltfremd,black metal//doom metal
Weltkrieg,black metal
Welwitschia,doom metal
Wende,black metal
Wendigo,black metal//progressive metal//thrash metal
Wendigo Psychosis,death metal
Wengele,thrash metal
Wenigma,thrash metal
Wenlock,heavy metal
Weresquatch,thrash metal
Werewolf,black metal//pagan metal//thrash metal//heavy metal
Werewolf Front,black metal
Werewolf Kommando,black metal
